0.421,0.292,Brisbane 2022 (estimate)
0.43,0.33,Ryan 2022 (estimate)
0.35,0.36,Griffith 2022 (estimate)
0.5204,0.2232,Ryan 2019
0.4340,0.2480,Griffith 2019
0.5089,0.2374,Brisbane 2019
